id,product_name,current_price,list_price,brand,category,cpu,ram,storage,screen_size,screen_resolution,os,software,average_rating,product_url
197,"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX005QVN (Ultra 5 225U, 32GB, 1TB, WUXGA, Win11)",26690000.0,27390000.0,Lenovo,Laptop,N/A,32GB,1TB,N/A,WUXGA,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-gen-7-ultra-5-225u-21sx005qvn
198,"Laptop Asus Gaming ROG Strix G16 G614JU - N3509W (i7 13650HX, 32GB, 1TB, RTX 4050 6GB, Full HD+ 165Hz, Win11)",34190000.0,40190000.0,Asus,Laptop,i7 13650HX,32GB,1TB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/asus-rog-strix-g16-g614ju-i7-n3509w
199,"Laptop HP OmniBook 5 AI 16 af1046TU - BZ7Q8PA (Ultra 5 225U, 16GB, 512GB, WUXGA, Cảm ứng, OfficeH24, Win11)",23790000.0,24490000.0,HP,Laptop,N/A,16GB,512GB,N/A,WUXGA,Windows 11,OfficeH24,5.0,https://www.thegioididong.com/laptop/hp-omnibook-5-ai-16-af1046tu-ultra-5-225u-bz7q8pa
200,"Laptop Acer Aspire A315 44P R9W8 - NX.KSJSV.002 (R7 5700U, 8GB, 512GB, Full HD, Win11)",10990000.0,12790000.0,Acer,Laptop,R7 5700U,8GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002
201,"Laptop Acer Gaming Nitro 5 Tiger AN515 58 52SP - NH.QFHSV.001 (i5 12500H, 8GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",18690000.0,27490000.0,Acer,Laptop,i5 12500H,8GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001
202,"Laptop MSI Modern 14 F1MG - 432VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",17290000.0,,MSI,Laptop,Core 5 120U,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/msi-modern-14-f1mg-core-5-432vn
203,"Laptop HP Envy X360 14 fa0097AU - AY8U7PA (R5 8640HS, 16GB, 512GB, 2.8K OLED, Cảm ứng, OfficeHS+365, Win11)",25890000.0,28990000.0,HP,Laptop,R5 8640HS,16GB,512GB,N/A,2.8K,Windows 11,OfficeHS+365,5.0,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0097au-r5-ay8u7pa
204,"Laptop HP Envy x360 14 fc0162TU - AY8X1PA (Ultra 5 125U, 16GB, 512GB, 2.8K OLED, Cảm ứng, OfficeHS, Win11)",,,HP,Laptop,N/A,16GB,512GB,N/A,2.8K,Windows 11,OfficeHS,4.9,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0162tu-ultra-5-ay8x1pa?utm_flashsale=1
205,"Laptop Lenovo ThinkBook 16 - 21SK006YVN (Ultra 7 255H, 32GB, 1TB, WUXGA, Win11)",31090000.0,31790000.0,Lenovo,Laptop,N/A,32GB,1TB,N/A,WUXGA,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-ultra-7-21sk006yvn
206,"Laptop Dell Inspiron 14 5440 - N4I5211W1 (Core 5 120U, 16GB, 512GB, Full HD+, OfficeHS, Win11)",22890000.0,23690000.0,Dell,Laptop,I5211W,16GB,512GB,N/A,Full HD,Windows 11,OfficeHS,5.0,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-5-n4i5211w1
