Tên,Giá,RAM,SSD
MSI Gaming Katana 15 HX B14WFK i7 14650HX (025VN),36.190.000₫,N/A,N/A
Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H (NX.KSLSV.002),24.090.000₫,N/A,N/A
Asus Vivobook S16 S3607VA Core 5 210H (RP155WS),19.290.000₫,N/A,N/A
Dell Inspiron 16 5640 Core 7 150U (KHPF5),26.490.000₫,N/A,N/A
HP Gaming VICTUS 16 s0077AX R7 7840HS (8C5N6PA),21.990.000₫,N/A,N/A
Asus TUF Gaming F16 FX607VJ Core 5 210H (RL035W),22.190.000₫,N/A,N/A
HP Probook 4 G1i 16 Ultra 5 225U (BQ5D4PT),23.990.000₫,N/A,N/A
Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U (NX.J1HSV.002),18.290.000₫,N/A,N/A
HP Envy X360 14 fc0153TU Ultra 7 155U (AY8V4PA),30.890.000₫,N/A,N/A
Lenovo ThinkBook 14 G7 Ultra 7 155U (21MR0070VN),28.090.000₫,N/A,N/A
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),19.290.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IAH10 Ultra 7 (83NC001AVN),27.190.000₫,N/A,N/A
Acer Aspire Lite AL16 51P 596H i5 1235U (NX.KWZSV.002),12.990.000₫,N/A,N/A
Asus TUF Gaming F16 FX608JHR i7 14650HX (RV037W),35.690.000₫,N/A,N/A
HP OmniBook 5 AI 16 af1048TU Ultra 5 225U (BZ7Q9PA),22.990.000₫,N/A,N/A
HP 15 fd1037TU Core 7 150U (9Z2W5PA),21.090.000₫,N/A,N/A
Dell G15 5530 i9 13900HX (i9HX161W11GR4060),40.190.000₫,N/A,N/A
HP Probook 4 G1i 16 Ultra 7 255U (BQ5E1PT),28.490.000₫,N/A,N/A
MSI Gaming GF63 Thin 12UC i7 12650H (887VN),18.690.000₫,N/A,N/A
GIGABYTE A16 GA6H i7 13620H (GAMING-A16-CMHI2VN893SH),25.390.000₫,N/A,N/A
Lenovo ThinkPad X9 15 Ultra 5 228V (21Q60050VN),47.390.000₫,N/A,N/A
Lenovo Legion 5 15IAX10 Ultra 7 255HX (83F0003CVN),48.990.000₫,N/A,N/A
Acer Swift AI SF14 51 53P9 Ultra 5 226V (NX.J2KSV.002),30.590.000₫,N/A,N/A
Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004),11.290.000₫,N/A,N/A
Lenovo ThinkBook 16 G7 Ultra 7 155U (21MS007HVN),28.390.000₫,N/A,N/A
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),16.290.000₫,N/A,N/A
Asus Zenbook 14 OLED UX3405MA Ultra 5 125H,25.990.000₫,N/A,N/A
Asus Vivobook 16 M1607KA R7 AI 350 (MB091WS),20.490.000₫,N/A,N/A
HP Gaming VICTUS 16 r0130TX i5 13500H (8C5N5PA),19.990.000₫,N/A,N/A
Dell Inspiron 14 5441 X1P 64 100 (N4O10441W1),28.990.000₫,N/A,N/A
MSI Prestige 13 AI Evo A1MG Ultra 7 155H (062VN),33.090.000₫,N/A,N/A
Lenovo Yoga Slim 7 15ILL9 Ultra 7 258V (83HM000GVN),38.990.000₫,N/A,N/A
HP EliteBook 6 G1i 13 Ultra 5 225U (BQ9L8PT),25.490.000₫,N/A,N/A
Asus Vivobook S14 S3407CA Ultra 7 255H (LY096WS),23.990.000₫,N/A,N/A
HP EliteBook 635 Aero G11 R7 8840HS (B91D3PT),27.190.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N5I7301W1),20.990.000₫,N/A,N/A
GIGABYTE G6 KF RC56 i7 13620H (9RC56KF0HJIIXIVN000),25.390.000₫,N/A,N/A
HP Gaming VICTUS 16 s0078AX R5 7640HS (8C5N7PA),19.690.000₫,N/A,N/A
Lenovo Ideapad Slim 3 OLED 14IRH10 i5 13420H (83K0000BVN),18.190.000₫,N/A,N/A
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),14.290.000₫,N/A,N/A
MSI Gaming Katana A15 AI B8VG R7 8845HS (465VN),35.110.000₫,N/A,N/A
HP EliteBook 6 G1i 13 Ultra 7 255U (BQ9M6P),29.490.000₫,N/A,N/A
Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),24.490.000₫,N/A,N/A
Asus Vivobook S 16 M5606KA R7 AI 350 (RI016WS),26.990.000₫,N/A,N/A
Acer Nitro V 16 ProPanel ANV16 41 R6ZY R5 8645HS (NH.QP2SV.002),24.290.000₫,N/A,N/A
